,COEFFICIENTS,ENCODINGS
215,1,LooH_LAkD`iYAN
216,0,L`DAKTMQaeEKQ}
217,0,LPKF_@mP_sV@hN
218,1,L`oPOTd@OpiUEN
219,0,Lh_h?aaWHBTGU^
220,1,LgcPON?DoxIUEN
221,0,LggOcM_BqWlEEN
222,1,L`gChdCo?qhu@V
223,1,L@sRORT@PP[EEN
224,1,L[GL`AOBIEdiEN
225,1,L`SQGJPHgshDeZ
226,1,Lh_BGf@QEWwRBj
227,1,L`IAXa_wDUW}`r
228,0,LHghGI`IHQyQUZ
229,1,LO[BSAkdoW[RJr
230,1,L`cEGLSRDPlCeZ
231,1,LwOQGQOSIwWjYr
232,0,LEgoL@_BFDM[Ul
233,0,L`P@dPIEZ@`Hbl
234,0,L@[aagIi@sYePt
235,1,Lgg@gJKag_xXLR
236,0,LQW@wQLaI_WzDR
237,1,LDK@tKIPPQ\EAf
238,0,LooH_JAkH`iYAN
239,1,L{?oAOSGQGpd|L
240,0,Loo_g@eaIeHyDR
241,0,L`P@dOiIZ@_ib`
242,0,L`cGhHPKDU[S`z
243,0,Lp_BGJDQCtgRHN
244,1,L@wDLgHPBOzEab
245,1,LeO_oHOmoQGX{b
246,1,LWKId?oHHfI^@L
247,1,Loo_g@eaIeH{@r
248,1,L`P@dPIEZ@`HbK
249,1,L[GL`?W`IEbo[V
250,1,LGk_wHOdsWYQtr
251,0,LPaFGHSRDPlDEZ
252,0,LooDOKSUF@kWYb
253,0,LoE`OCS[D^CWhb
254,1,LHcbOIOdcrKaIN
255,0,LDaDhHPKCqkT@z
256,0,L`oBGXSdEPYTGN
257,1,L_Y?kLHTgozI{U
258,1,L_U?[chRD\HZRo
259,0,LMACwFGiP`_y|B
260,1,L?tbAHLIS`{CU]
261,0,LTA?ySKqGdGyMM
262,1,Lao?ieQhIcHwE]
263,1,L`Q?qUShHSoyIM
264,1,L@kAtBGhhOxpZD
265,1,LQI_q@HeNDOxlB
266,1,LgQ?keIaITPyDM
267,1,L@[_kCqbJWZGug
268,1,LcHCF?wTETVblD
269,0,LQK_q?gyXd_yjB
270,0,LOq@w_[hGXg{El
271,1,L`gHBQcKBHPOvB
272,1,LGk@tKGDcqkYIb
273,1,LiO?wDsHIYIWsd
274,1,LiGOoBs@SSiXwd
275,1,L_w_dCOeJYWyHM
276,1,Loc@o``eBRW{iJ
277,1,LGJBcYHBJag\cy
278,1,Loc@LGKDDR\If[
279,0,LqC@cBdBBWosxh
280,1,Loo@p_I`DSXwkr
281,0,LBSooBe@IQGysT
282,1,LO[IhBA`cQGyot
283,1,LpA@cBcL`Wosxh
284,1,LdO_oBadcQHXot
285,1,LiA`CEOhFWW}KM
286,0,L_e@gokJ?qnId[
287,1,L_w?taI`CshzAb
288,1,LOU@wG[bIXgkeh
289,1,L?mAlDGXpSiGYS
290,1,LOqTCAohFWW}GM
291,1,L?tArCpaao~C@]
292,1,LoSOo@u@IYIisT
293,0,LBcaF@SIJAhJF@
294,1,LKo_iEGUIhW}?]
295,1,L@qQETGFF`k[Ye
296,1,L?lBbHPQco}APu
297,1,LU_?zCOqIWWyMM
298,1,LHgooB_acqhgqb
299,1,LdG_pB?ecQXhqb
300,1,LUOooOO[SOYjor
301,1,L``AaDpYcozBPU
302,1,LaQ?kdGmKWXZDK
303,0,L_[_WSSXaSIw{D
304,1,LgK?YFKaKiW}AM
305,0,L_e@hBIPIwgykL
306,0,LO[@kHKbIWwkkL
307,1,LaP?kdGmKWXZDS
308,0,LcW`GCqTEO|YdL
309,1,L_[`_CsL@}KWhl
310,1,Lgo?ieOhIhWyEM
311,1,LRGLPGKKB@O\fB
312,1,LwGgCAO[aPm\Qb
313,0,Ly?PD`?GRApivB
314,0,LWKggA_YKXXkoR
315,1,L_MAXDGJD}MaTT
316,1,LaQ?xBGRRSshyh
317,1,LC[_r?WiJKoylB
318,0,L_[OoDu@IYIWsd
319,1,L_wGdDGdHiWyIM
320,1,LEKOYggJDBUKqr
321,0,LPSCsBbPJ_WhwR
322,1,LWWgWA_Y`P]\OR
323,1,Lm?b?KaaSQOGh}
324,1,L{?EOgQD@`HTzM
325,1,Lp_OTA_Eao|KTK
326,1,LBccF?sIJ?jJJ@
327,1,LcS_o@tDCVGywD
328,1,LO[`K@SdDZHW{@
329,1,Ly?aD?cGJBOzZB
330,0,L_wDCb`eBPW{kJ
331,1,LHK`cBPDgozKxu
332,1,LcQ?lBKP?|dH{l
333,0,L_p@oguKAd_xZR
334,1,L_p@gXSeBgZHTp
335,1,LCpaWIaMGo~C`r
336,1,L`WAdBGhhOxrRd
337,1,LWohGA_wHZPYAN
338,0,LocgA?hYgdQZLR
339,0,LwG_g@coK[\OTt
340,1,L`KBGRKbHQ^?ib
341,0,LwA`CDCKFIgy|L
342,0,L`o@b@gdbguPBx
343,0,LDS`S@qhSXGivd
344,0,LOkQcH_RiPYrTR
345,1,LP`HEHIU@reOym
346,0,LgS@gLSP`OxZhL
347,1,LC[dBCOqBWXX]Q
348,0,LsO_o__m_YIXwr
349,0,Lw_KDH?c_pJ`lL
350,0,LY@IdDACOopNKL
351,0,L?Ns`o@_q?dAfB
352,0,LaICXI_[[OWkwR
353,1,LC[dDCOqBWXX]I
354,0,LKc_w@s`_YJG{T
355,0,LKHahA_SaP[pyR
356,0,LGwgg`Gq@[WyiM
357,0,LHg_iEHI`w[I]U
358,0,LgoS_bO`BgW}Qm
359,0,Lgo`_`OpBiWyQm
360,0,LwGgH?_SaP]\YR
361,0,L_w@bGpI`sYiXU
362,0,Log`_AShBYW{Qu
363,0,Lo``G?Y[Ud`X]L
364,0,Log_QAHUhdQZDL
365,1,LCdOkWXEIPW~MY
366,1,L@eKR@qIEO[\\d
367,0,L_kGJGhBaPYVMR
368,0,LgIALB_KicW}\B
369,0,LaK_X?kHArU\UR
370,0,LQEBcCuDBOY^Hh
371,1,LgWOaWWBb_sl[p
372,1,LCwdBCOqIWWwMm
373,1,LGYGwWWR`Okrh`
374,1,LFCPRPOIPOpKvK
375,0,LcW?wStHCUHWsd
376,1,L@XPacq`g_XXLs
377,1,LaW_o@qhTQGysD
378,1,LpGgAGMKBDPTfB
379,1,LB`WLPOIR@HdV@
380,1,LMOj?KaaOQOGh}
381,0,L`KASTKdDPYrVP
382,1,L_[GWIqiISWy]B
383,0,LGXAsUS`HSpXIM
384,1,LcI?tDGdHiWzJM
385,0,L_s?lDK`Cxg}Al
386,0,LEIAfDGXh?oxZU
387,1,L_J?fK`DbcuKby
388,1,LHobAGhQ`pWeY]
389,0,LOwCqEKiHgWxHU
390,0,LWWcgG_YYQgiqR
391,0,L_k@K`jBDQ\IfK
392,0,L_w@cXKbHQXhIb
393,1,LKW_w@ohcYGysD
394,1,LeO_oBbDIQGysT
395,1,LgH?Zi?PQcySpu
396,1,LoW_K@QTQskX|K
397,1,LB`oSHSKDchJF@
398,0,LL_s_Q`@g_PId]
399,0,LWWgX?_SIYYiqR
400,0,LwOOp__CKXXkqr
401,0,LgW`_ES`HWxXI]
402,1,LB`OkcgMBW]SUw
403,1,LGp`KcOXEgx\GM
404,0,L[CeOOLA@`HTzM
405,1,L_i@aWXMdOgo|o
406,1,LoQ?iOphi`Pgra
407,1,LPcO\AOEaq]HPg
408,1,LoK_c?pLcs[hzg
409,1,LsCGdA`D@dXkrw
410,1,LpGCKGkha`PKvE
411,0,LoHD`AGTPtP[c]
412,0,L?]oLCPCKxkGRg
413,0,LWcGr@OEIYWzZU
414,0,LoW_cCShHYWzIM
415,1,LGX`cBOLpWs[xu
416,1,LoW`GD@YhOxX]L
417,0,LoW_E@H[gst`]L
418,1,Log_K@PUiUIZDL
419,0,LGwaKIGXhdOZDL
420,0,LPKCkHKXCssH}h
421,1,LHW_s@pPhO|JRd
422,0,LKg`oBS`@YW{Qu
423,0,LqO_o@_msOiXwR
424,1,LoW`GDAUYOxX]R
425,0,LB`aaIcMHc[_lx
426,0,L_s@pGoYiPWx[R
427,1,LWWERO_SL_hXyR
428,1,L`o@oRd`OpkQEN
429,1,LBPGND_wHbMOgb
430,0,LDg_[BRDWOwmZd
431,0,LGi_wH_bowgu\R
432,1,L_YATAgXhclG}M
433,0,LaHaAG[L@vAVEl
434,1,L_q@ghQdOwhH]p
435,0,L_k?\IOUiUIZ@L
436,1,LHcbCHOdcql?]r
437,0,LOkAs@sdgUIXHT
438,1,L`PAQXSdH`qSrm
439,1,LGpdASOXU_psQm
440,0,LAkiAIS[DCWXYr
441,0,LCweDA_[IWWgyb
442,0,Lk@cDOcGAOvLkL
443,1,LX_[HG_G`PGujL
444,0,LO[WKEcH?}KXhl
445,1,LwCcD@CGPRShzK
446,0,LWWEhASAIWWjYb
447,0,LX_[HD?G``QiVL
448,0,LWSKca_[_O\ZWR
449,0,LDH`aAjaQeSGU}
450,0,LKgoWBcCGYYgyR
451,0,LWWEhAcCIWWiyR
452,1,LwCcD@CGPSrHzQ
453,1,LGpdASOXU_hsam
454,0,LFOPKMGqaPQHQ}
455,0,LFO_qBPecSKPQ}
456,1,L_p@RESQDXhq`U
457,1,LEKaSBOt`WG[{`
458,0,LGh`aIGipiOkQ}
459,0,LWKGkD_XC|KXdL
460,1,LUOSgaO[?olZWR
461,1,LUOPWPO[SOYhwR
462,0,Lu?cOB?mSOiXyb
463,1,LGp`cDSPDXhqQU
464,0,Ld@AdBcSDDWZQr
465,0,LFCDbDGiSaGsQ}
466,0,LL_OwROSWPWXYb
467,0,L[GsAOcAA_m\]r
468,0,L\?[HH?G_OhT}R
469,1,L@YDXIGTgtQX[r
470,1,LB`_wDbEE{_Y]L
471,1,LBWHWSpRB[QRHN
472,1,LBWdAOhUI{AaYV
473,1,LBaAwUKFB]?oxl
474,0,LAwFAHsR@|?kYU
475,1,Lp_@gHPXh_z@dZ
476,0,L`oEOKsTEP[TGN
477,1,LoWoOGOkcqkXYb
478,0,L@wDKiILOte?hN
479,0,LhGAoKs`HR]@IN
480,0,LwCd?CcWEeHxRp
481,1,LggAoEobqWjCcN
482,0,LbGAoEshHWYTGN
483,1,LhGBOEt@PR[DIN
484,1,LkGp?U?`Ee`wU]
485,0,L_iHCM`X`_~@DZ
486,0,L@w?|cJ@GwlCIf
487,1,LPK@t?l@OuhVBr
488,0,LdCBGFTB@RkSkZ
489,1,L?{aagLE?tYePt
490,0,L_[``CQahOZXIj
491,0,L`W?wSmaI_YZDR
492,1,LHg@l`H@BY]EAf
493,1,LooP_TCSH`ZggN
494,0,L{?oOCQGp@cg~R
495,1,LpCGgIPkDT[Qbj
496,1,LpGI_HPsES{@dZ
497,1,L?{JDIL@?p}ECr
498,1,LqGp?ASoLDHwU]
499,0,L@wgWQ`bBalSXV
500,1,LCkESEhRiXGXVs
501,1,LEaCwIhbIPow|K
502,1,LOqAqKeBH`j`bh
503,0,LWoRAEPCFhggux
504,1,LGqeAIHcJ`i`bx
505,1,Li@PAMPCF`m_ux
506,1,LD`AwRQbPTPa]F
507,1,LAUBJ_WYIZdaYF
508,1,LK`EKJ_bE\PalF
509,1,L?uUCDl@aPq\Rk
510,1,LOhbGGLPDbWjb[
511,0,LAwobGOabQG}`u
512,1,LAwacQKLH`G}aM
513,1,Lw_`__QIDdH{T]
514,0,LCpbBC`KCrpXUp
515,1,LJAbBC`CEqoZ]h
516,1,LcWCde@cI@[iEN
517,1,L[CdOCcoC`j]AN
518,1,LBWbG_iRGuT_hj
519,1,LHa`gCsBQRn?kJ
520,0,LJ_IgFT@@TMAE^
521,1,LRCPcIcBIXLEEN
522,1,Lh_QCIs@IRkUKN
523,1,LsGp?CaoBURXIN
524,1,LggoAEH@DxpmbU
525,0,LWodP?SADdH{T]
526,1,LEWgaIOm_SGzYU
527,1,L`P@dPKKJHOXdQ
528,0,LwAKDGcGa@LdVL
529,0,LEWGjKOi_SGy]U
530,1,LoQaD?`KKth\Uh
531,1,LIPhAGhHHbPkrs
532,1,LPWPWgIDCsWmib
533,0,LHSKoDr@IQGW{d
534,1,LSSSpaA@OSGy{t
535,1,LGqXAJSA@XguYM
536,1,LBoGlDPH`QKKa}
537,1,LEQbBC`KCpp\Tp
538,1,LXCKpD?aMAgybb
539,1,LOYPaAWdZGxvHR
540,1,LOsBSAhRbP]R@r
541,1,Lw__g@_hKxp[Ul
542,1,L`W?sPorXO|cQb
543,0,LPoGqEHMAsz`PT
544,0,LhCP_ROQJPW~AJ
545,0,Lw_P_PGPJ`YzDT
546,1,L@wC\KHDKo|CIb
547,1,LCXBWMQeCo~@Aj
548,1,L`PAINCYCtsbHV
549,1,LHgBgdHIHQyPEZ
550,0,L`o@cQojRO~ACJ
551,1,L`WARIOUNCwZ[L
552,1,LOMBo?zBLYHV@r
553,0,L@kDQMKUCp]_Pt
554,1,Lk_@gPhQI`YZDR
555,1,LU_@wOhYI_YZDR
556,1,LHQBWeGRHP~C?r
557,1,L@s@sRdBPPkScZ
558,0,LPcIoI`iES{?dZ
559,0,L`c@gFTBPRkOkZ
560,1,L@kaaKKUCtYaPt
561,1,LPa@wG[RDXlEAb
562,0,L?{r?GkaIbWXLR
563,0,LhO@gPkaI`YZDR
564,0,LsOPOEGiFGxotr
565,0,LqGBCDcsDP]SAj
566,1,LiGBCe_wDP[sGN
567,1,LHSBoKgUe`[aYN
568,0,LPcIcI`iCtgRDZ
569,1,L@wbCCtBQRkCKN
570,1,Ly?`_DCKBQu]AN
571,1,L`WBOIsbIRm?cN
572,1,LEW_w@hFKdKW}M
573,1,Lgo@WUOXRQWx`l
574,1,LqAoO_dG@SrHzQ
575,1,LX_[H_OG@bcY\L
576,1,LKo`oDOTHhWwhM
577,1,LeO_oP_mSOiXwR
578,1,Ls_WOD_Y?yYhYb
579,1,LeOChE_YQOhXwR
580,1,LBP_iEckI`]O`q
581,1,LWBHEAgYIjd`[R
582,1,LQKG\@J@AqeKul
583,1,LQK@sHUDDWG[{`
584,0,LOkOtGOIcqkX[b
585,1,LcWOWFU@CWg{wd
586,1,LX_sGCcGaOjPjL
587,1,LqOGdA_[_olZWR
588,1,LHI@sq`B`UHk{r
589,0,LKcaoIKI@eh^HV
590,0,LWgJHAOIPQ|LEZ
591,0,LAkYCJcP?sjQtr
592,0,L_i@WMfAcO]PDz
593,0,Lp_aC@TSDVKe@^
594,0,L``AdPIEN@_]Ul
595,0,Loo_oCeQgOXxYr
596,1,Lp__WC`JcqlSej
597,0,LBcWcNCBAWlDIN
598,0,LKKccSKSIE@{Ql
599,0,LoW_a?\EQelfHV
600,0,LHghG`HI@Q}TEZ
601,1,LbCEPCWhDsralL
602,0,LQgUGDHEE}APYN
603,1,LCkQcX_RHQjQpr
604,0,Lw_`C?pKeRdGvl
605,0,LAqoL@_HVC\KUl
606,0,L_s@pPQPY_WzDR
607,0,L`o@c`YbBWm_kr
608,0,LHIbCI`KkSWcdz
609,0,LPaJ_CrWDRL@@^
610,0,Locd??hYi_YZLR
611,0,LHK`oBHEhaW^@L
612,0,Log`_@HUh`YZDL
613,0,LgWo_KOKbQ[XYb
614,1,LDoRGRPDQP[DIN
615,1,LCUFHX@HCpsLT\
616,0,LPoKWKP[_ohStr
617,0,LPoYGESDAT^AEN
618,0,LwOoCD?PjCrihF
619,1,LFOoLC_oaSJSQ}
620,0,L?{oX@GEwYO]UL
621,1,LKKccSKWHE@xYR
622,1,LKoBKXcP?pnCgN
623,0,LwG_g@aoWuTIEN
624,1,LpO_aGP[gshRdr
625,1,Lp_aOBCsDX[PhN
626,0,LDoBLPIIKYQPP}
627,1,LdGICU`qAQkRBj
628,0,LdGI_U`iAQm@`^
629,1,Lq_X?PcWK?uWhn
630,0,LcgI_Y`eAQmA`^
631,0,L`og_cRK?pn@hN
632,1,LHoDch`WBQ\@`N
633,0,L`WAdK`KgsgPjj
634,0,LwG_c@PohUdKC^
635,1,LCwp`CGQDhgyQl
636,1,LoK`GCSXEkmObi
637,1,LDSROQohBO~CaJ
638,1,L{?OW`OcKI]LAz
639,1,Lw__o@OsowkplZ
640,0,Lp_g_HAeEO|TDZ
641,0,LaQCpHHDhcTbJN
642,1,L?{QSopB_qlMTt
643,1,LR_BSWKRDOkRMr
644,0,LB`WWJcB@S]cir
645,1,LBEOicWXIZdQkF
646,0,LHEDWqPBCrcjXL
647,1,LARJDGXHJAhTej
648,0,LwGGdE?gA}ciEN
649,0,LXCPgGgQiPW^IR
650,0,LX_sGOKGF?kYmR
651,0,LWWUD@OCMWWl[R
652,0,LOhESKcRDgpdTX
653,0,LAsQcl@BQPkEEN
654,0,LoE`CEC[@~DG[L
655,1,LEgPWIoXg_YZDL
656,0,LoQ_W?[qMLcgYb
657,1,Loc`OAHUi`YZDL
658,1,LwOK`@_QcOlZQr
659,0,L?Ne`cCPGjC`GL
660,0,L\?kD?PG`?hfZR
661,0,LsCIPPAD@`LSvK
662,1,LKKCqKkQGa[Xii
663,0,LeG_WE`Y_oi\WR
664,1,LPgFAHcRDS[_mr
665,1,LOqRABPDapmccr
666,1,LAs?|HGJ`snK[T
667,1,LOkBTA_TSp}U@r
668,0,LEaSaF_TI_X}Cr
669,0,LH`iGpAaB@Og~r
670,1,LPgPgHOTSpyV@r
671,1,LPgA[EKT@tZaTT
672,0,LoQ@pC`EEtgzIJ
673,1,LooGKAkiGfH{@]
674,0,LoSHOCqTEO|YdL
675,1,LcWOWBs`_YIXwd
676,1,LggIOqQKA`cXVB
677,1,L[AXPG_CaBOzZB
678,1,LsOo_@_YHXXkqb
679,0,LLAwPC_CaBOzZB
680,1,L_[cOCuHESIw{D
681,1,LogOK@gqMYW}AM
682,1,LiGIPSSA@`HkvM
683,1,LGM_lCPAbQlKPK
684,0,Lr?i@OCDAOpTz]
685,1,Lr?i@OCPGQSPY}
686,1,LwOK_PO[SOYjor
687,0,Lcog`@_Y@XXkqb
688,1,LbGKPd@KA_WlfB
689,1,LoWK`@_qQQXhqb
690,1,LO[@l@IPgsH{cl
691,1,LQH_[?ipMcI}AU
692,1,L_h?sQpJXWolUW
693,1,LoSgOD@UBTW}eJ
694,1,LWWYOB_QoPg\qb
695,1,Lp_[?ST@@OpIn]
696,1,Lp_[?ST@APQKdu
697,1,Lp_[?ST@APQKem
698,1,LqGo_AO[qOXlqb
699,1,L@kELOYPBqUePl
700,1,LPoBSa`RDP{R@r
701,0,LoKHPA_TIeX{`R
702,0,LOwQgDPDWpyKcr
703,1,LQaEQPPTBtEKeM
704,1,Lp_BOI_jRQxCeJ
705,0,LGkacQOLQo}VCJ
706,1,LBoEKQ[FBQTePl
707,1,L@wGsEXd`_|_Yb
708,1,L`gB_EhRb_xT@r
709,0,L@wgIIHM@tYePT
710,0,Lco@oggmGRWxHT
711,1,L`S@hPOeMPYZ@L
712,1,L@w?|SH`QqlCCV
713,1,LWPhCE?XHdjoQk
714,0,LL_kOSdAA@_X^R
715,1,LQWXGBGeIUQyAM
716,1,LiAWGx?E@PTMVQ
717,1,LAwEa[TB@{?Ilu
718,1,L@YBhcGJHQ~ACR
719,1,Loo@gLDBQTiQEN
720,1,LAkF_iIXOrCP`n
721,1,LHcBoEt@QR[@IN
722,1,LSgogE?TI`}[?r
723,1,LH`iGpAaB@Og~Q
724,1,L@w`gCtBQRkOkJ
725,1,Lk_B_Er@HXJ@I^
726,1,LUOpGC_iDVBY@V
727,0,LX_hGEAWHbLOD^
728,0,LbCAgNCbIXHCeN
729,1,LEgogAgYHTUWQq
730,1,Lq_`C?[[BUfSCZ
731,1,LgoB_IWTb_|R@r
732,1,L_k?wTRBHxRHlB
733,1,LTABWHOtCp}D@r
734,0,LScQcI`IHQ|AUZ
735,1,L`gBDaGTOszAkb
736,1,LBIDLAgdiPRXVK
737,1,L@hBgPXRd_sJEh
738,1,L?{GjDQacOX}CR
